bikeid,type,lon,lat
0100016269,classical,116.430864,39.891852
0100011818,classical,116.576405,39.924531
0100020172,classical,116.302906,40.053018
0100011540,classical,116.499642,39.865649
0100011541,classical,116.271464,39.889609
0100011810,classical,116.340773,39.814573
0100011811,classical,116.595498,39.924959
0100011816,classical,116.337455,39.756803
0100011545,classical,116.281738,39.823147
0100016266,classical,116.43294,40.058347
0100030122,classical,116.294493,40.084123
0100024068,classical,116.330591,39.927999
0100015517,classical,116.31344,39.95306
0100015516,classical,116.416516,39.983496
0100015043,classical,116.276792,39.785795
0100015514,classical,116.344867,39.904765
0100015045,classical,116.253943,39.867852
0100015512,classical,116.238146,39.900392
0100015511,classical,116.29006,39.818156
0100015049,classical,116.468201,39.92264
0100015048,classical,116.413918,40.07449
0100015519,classical,116.33378,39.970805
0100015518,classical,116.223905,39.864098
0100011607,classical,116.457764,39.914557
0100011606,classical,116.364123,39.922972
0100011605,classical,116.288385,39.994168
0100011604,classical,116.411129,40.053061
0100011602,classical,116.422543,39.938546
0100031508,classical,116.305766,39.975769
0100023322,classical,116.585592,39.90619
0100011512,classical,116.274665,40.043589
0100031506,classical,116.312345,40.036518
0100031505,classical,116.364909,40.040157
0100020339,classical,116.346666,39.982898
0100020338,classical,116.31378,40.053682
0100017031,classical,116.408843,40.002638
0100024308,classical,116.442658,39.936277
0100024309,classical,116.508785,39.957808
0100024306,classical,116.399318,39.862539
0100024307,classical,116.616427,39.924906
0100020331,classical,116.410073,39.858198
0100020330,classical,116.440235,39.892738
0100024303,classical,116.400427,39.880852
0100024300,classical,116.399909,39.851288
0100024301,classical,116.332087,39.997286
0100021579,classical,116.471652,39.951707
0100021572,classical,116.318809,40.002619
0100021573,classical,116.274198,40.045259
0100021571,classical,116.416376,39.917356
0100021576,classical,116.304119,39.942285
0100021577,classical,116.510564,39.903028
0100021574,classical,116.331719,39.985645
0100021575,classical,116.33095,39.991035
0100010639,classical,116.390008,39.895617
0100010631,classical,116.401862,39.866473
0100010633,classical,116.40328,39.765828
0100010635,classical,116.303061,40.05278
